transaction_id,block,block_ts,from_address,to_address,confirmed,contractRet,quant,tokenAbbr
5ebce7bdade1d35a06576bff0105ef84b614191815cf56da1068f313ab43234e,49174381,2023/03/06 20:30:45,TCXuMj4V8v7HB94vfZrqHbCPLcCtCuWcWj,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,true,SUCCESS,23.270000,
96d33be270e8958f979d38790950cd03ef6dd8c55e3d1f3da9d12a750f32979e,49173923,2023/03/06 20:07:51,TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,true,SUCCESS,50.000000,
67d4f6ef3afcfc740dbedc20cec857f38af0b61a43ee025cf7705e7d04c3d39e,49173204,2023/03/06 19:31:54,TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,true,SUCCESS,9.000000,
c50ce6a77db5e99c172b20c7d9b9415d9a052962f4ddff63f6e8fa83d72d54cf,49169935,2023/03/06 16:48:21,TUQ7b4R5MGpB22Z8NKopuoNwKLFxSSm4zj,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,true,SUCCESS,6.176700,
aa97dc711d1f81dc3aeac456b1f9db2733c0594465db9ef7c8914b3e3ed38ce3,49169146,2023/03/06 16:08:54,TG9kqhjB9QdwFnzNHUhQXsSDzr8WRKZWnE,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,true,SUCCESS,11.682667,
026695cfab3f3d5c730a0e1d75caef32578191e8374f4439ec826a6c1e3a560f,49169105,2023/03/06 16:06:51,TEVpttw1yXcE4S7pmDZfELpK1SsvcLUiKx,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,true,SUCCESS,4.000000,
cd4a7aa65302137a7e0e0a5463d71b345a4f23c03123a6948904359f6fb80442,49168887,2023/03/06 15:55:57,TQwyYfukuzSNiyEsGmS3cZB8yqeMJzitTr,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,true,SUCCESS,100.000000,
aa4dfbc719da0d1ae2d135c44a555b79d9c3d8ae5d7f26a1102112a3536a80bb,49167795,2023/03/06 15:01:21,TCvWVSMgbjv2z5HP9wUnAWU6ZiGGXFPpjV,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,true,SUCCESS,10.000000,
16b3ed70e59d8586c35ef8f07639b2ad9dcfe0a31c3007b9f4fff7af925b3505,49165495,2023/03/06 13:06:18,THsQTnhQ7i3BcPz6pKaWDthQAN6giyLWwe,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,true,SUCCESS,29.638666,
e5f16110213f2efdde1acb48b7a214fa3004928f605521d86d1247fd2f1443a6,49163813,2023/03/06 11:42:06,TFp4V3S9JqJyQAMMCewyn4aAaLueJwzS7H,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,true,SUCCESS,1.000000,
